,,,
Russland,Russland,Russland,Russland
Uruguay,Spania,Spania,Spania
Portugal,Danmark,Danmark,Danmark
Spania,Sveits,Sveits,Sveits
Frankrike,Tyskland,Tyskland,
Danmark,Peru,Peru,
Argentina,Colombia,Colombia,
Island,Kroatia,Kroatia,
Brasil,Tunisia,,
Sveits,Senegal,,
Tyskland,Japan,,
Mexico,Argentina,,
Belgia,Belgia,,
England,England,,
Polen,Egypt,,
Colombia,Saudi-Arabia,,
Saudi-Arabia,,,
Egypt,,,
Marokko,,,
Iran,,,
Australia,,,
Peru,,,
Kroatia,,,
Nigeria,,,
Costa Rica,,,
Serbia,,,
Sverige,,,
Sør-Korea,,,
Panama,,,
Tunisia,,,
Senegal,,,
Japan,,,
